elapsed,gpu_util_pct,vram_mib
1788296541.2,0,1550
1788296543.3,1,1607
1788296545.3,2,1562
1788296547.4,1,1562
1788296549.4,2,1547
1788296551.4,10,1644
1788296553.5,3,1617
1788296555.5,2,1566
1788296557.6,2,1587
1788296559.6,2,1560
1788296561.6,3,1554
1788296563.7,2,1554
1788296565.7,2,1554
1788296567.8,2,1553
1788296569.8,0,1670
1788296571.9,0,1569
1788296573.9,1,1566
1788296575.9,2,1596
1788296578.0,2,1564
1788296580.0,2,1564
1788296582.0,1,1557
1788296584.1,2,1591
1788296586.1,1,1567
1788296588.2,2,1553
1788296590.2,2,1553
1788296592.3,2,1554
1788296594.3,3,1554
1788296596.3,0,1649
1788296598.4,0,1570
1788296600.4,0,1572
